ano,sigla_uf,id_municipio,produto,area_destinada_colheita,area_colhida,quantidade_produzida,rendimento_medio_producao,valor_producao
2016,MG,3106309,Café (em grão) Arábica,NA,NA,NA,NA,NA
2016,MG,3102605,Café (em grão) Arábica,7085,7085,12753,1800,95648
2016,MG,3171303,Café (em grão) Arábica,1950,1950,2262,1160,16286
2010,MG,3153400,Café (em grão) Arábica,NA,NA,NA,NA,NA
2014,MG,3107208,Café (em grão) Arábica,NA,NA,NA,NA,NA
2017,MG,3123908,Café (em grão) Arábica,160,160,365,2281,2723
2017,MG,3125606,Café (em grão) Arábica,24,24,18,750,129
2017,MG,3168507,Café (em grão) Arábica,975,975,842,864,5751
2022,MG,3107604,Café (em grão) Arábica,1945,1945,3170,1630,65226
2016,MG,3149606,Café (em grão) Arábica,NA,NA,NA,NA,NA
2016,MG,3124302,Café (em grão) Arábica,NA,NA,NA,NA,NA
2016,MG,3138625,Café (em grão) Arábica,NA,NA,NA,NA,NA
2016,MG,3122900,Café (em grão) Arábica,NA,NA,NA,NA,NA
2016,MG,3104502,Café (em grão) Arábica,NA,NA,NA,NA,NA
2016,MG,3149002,Café (em grão) Arábica,1300,1300,1248,960,10296
2010,MG,3165560,Café (em grão) Arábica,NA,NA,NA,NA,NA
2010,MG,3133105,Café (em grão) Arábica,NA,NA,NA,NA,NA
2012,MG,3157278,Café (em grão) Arábica,5,5,4,800,23
2017,MG,3125507,Café (em grão) Arábica,30,30,143,4767,930
2017,MG,3115201,Café (em grão) Arábica,143,143,376,2629,2820
2022,MG,3121308,Café (em grão) Arábica,1,1,2,2000,40
2022,MG,3172004,Café (em grão) Arábica,3,3,5,1667,100
2022,MG,3109808,Café (em grão) Arábica,NA,NA,NA,NA,NA
2022,MG,3130101,Café (em grão) Arábica,15,15,18,1200,360
2022,MG,3139805,Café (em grão) Arábica,100,100,210,2100,4270
2016,MG,3107505,Café (em grão) Arábica,NA,NA,NA,NA,NA
2010,MG,3123205,Café (em grão) Arábica,NA,NA,NA,NA,NA
2012,MG,3123304,Café (em grão) Arábica,50,50,66,1320,328
2023,MG,3150307,Café (em grão) Arábica,NA,NA,NA,NA,NA
2023,MG,3147709,Café (em grão) Arábica,80,80,130,1625,1792
2014,MG,3137809,Café (em grão) Arábica,6000,6000,6100,1017,48934
2017,MG,3159803,Café (em grão) Arábica,NA,NA,NA,NA,NA
2017,MG,3109253,Café (em grão) Arábica,NA,NA,NA,NA,NA
2022,MG,3116902,Café (em grão) Arábica,NA,NA,NA,NA,NA
2022,MG,3138674,Café (em grão) Arábica,6200,6200,9300,1500,190262
2022,MG,3124807,Café (em grão) Arábica,2215,2215,3234,1460,66580
2022,MG,3117603,Café (em grão) Arábica,NA,NA,NA,NA,NA
2022,MG,3123908,Café (em grão) Arábica,150,150,270,1800,5535
2022,MG,3141405,Café (em grão) Arábica,4,4,3,750,60
2016,MG,3139201,Café (em grão) Arábica,1200,1200,1584,1320,10771
2016,MG,3135605,Café (em grão) Arábica,NA,NA,NA,NA,NA
2010,MG,3112901,Café (em grão) Arábica,NA,NA,NA,NA,NA
2010,MG,3109204,Café (em grão) Arábica,NA,NA,NA,NA,NA
2010,MG,3108305,Café (em grão) Arábica,NA,NA,NA,NA,NA
2010,MG,3154408,Café (em grão) Arábica,NA,NA,NA,NA,NA
2012,MG,3113107,Café (em grão) Arábica,15,15,5,333,29
2012,MG,3129004,Café (em grão) Arábica,450,450,810,1800,3987
2012,MG,3117876,Café (em grão) Arábica,NA,NA,NA,NA,NA
2012,MG,3133600,Café (em grão) Arábica,NA,NA,NA,NA,NA
2012,MG,3127073,Café (em grão) Arábica,24,24,22,917,128
2017,MG,3157278,Café (em grão) Arábica,3,3,2,667,14
2017,MG,3166402,Café (em grão) Arábica,NA,NA,NA,NA,NA
2017,MG,3120607,Café (em grão) Arábica,NA,NA,NA,NA,NA
2022,MG,3170503,Café (em grão) Arábica,NA,NA,NA,NA,NA
2016,MG,3100609,Café (em grão) Arábica,2300,2300,2484,1080,17388
2010,MG,3169109,Café (em grão) Arábica,NA,NA,NA,NA,NA
2010,MG,3165206,Café (em grão) Arábica,NA,NA,NA,NA,NA
2010,MG,3166600,Café (em grão) Arábica,NA,NA,NA,NA,NA
2012,MG,3143500,Café (em grão) Arábica,NA,NA,NA,NA,NA
2012,MG,3138807,Café (em grão) Arábica,55,55,99,1800,569
2012,MG,3104601,Café (em grão) Arábica,180,180,184,1022,1196
2017,MG,3162104,Café (em grão) Arábica,1600,1600,2300,1438,17066
2017,MG,3119005,Café (em grão) Arábica,1200,1200,2520,2100,18220
2022,MG,3111804,Café (em grão) Arábica,NA,NA,NA,NA,NA
2022,MG,3162922,Café (em grão) Arábica,NA,NA,NA,NA,NA
2016,MG,3111903,Café (em grão) Arábica,700,700,1092,1560,9116
2016,MG,3160108,Café (em grão) Arábica,406,406,365,899,2847
2010,MG,3109402,Café (em grão) Arábica,NA,NA,NA,NA,NA
2010,MG,3116506,Café (em grão) Arábica,NA,NA,NA,NA,NA
2012,MG,3164704,Café (em grão) Arábica,10400,10400,16848,1620,102451
2012,MG,3131406,Café (em grão) Arábica,NA,NA,NA,NA,NA
2012,MG,3120805,Café (em grão) Arábica,330,330,396,1200,2301
2012,MG,3147501,Café (em grão) Arábica,NA,NA,NA,NA,NA
2022,MG,3112208,Café (em grão) Arábica,305,305,641,2102,13221
2022,MG,3101201,Café (em grão) Arábica,10,10,15,1500,319
2022,MG,3122801,Café (em grão) Arábica,340,340,449,1321,9231
2022,MG,3129301,Café (em grão) Arábica,285,285,445,1561,9067
2022,MG,3106408,Café (em grão) Arábica,NA,NA,NA,NA,NA
2022,MG,3126505,Café (em grão) Arábica,NA,NA,NA,NA,NA
2016,MG,3159308,Café (em grão) Arábica,NA,NA,NA,NA,NA
2010,MG,3108404,Café (em grão) Arábica,NA,NA,NA,NA,NA
2010,MG,3149952,Café (em grão) Arábica,NA,NA,NA,NA,NA
2010,MG,3129301,Café (em grão) Arábica,NA,NA,NA,NA,NA
2012,MG,3119005,Café (em grão) Arábica,2140,2140,2311,1080,14020
2012,MG,3107703,Café (em grão) Arábica,150,150,180,1200,993
2012,MG,3122900,Café (em grão) Arábica,NA,NA,NA,NA,NA
2023,MG,3103900,Café (em grão) Arábica,NA,NA,NA,NA,NA
2023,MG,3117405,Café (em grão) Arábica,840,840,1260,1500,17388
2023,MG,3170651,Café (em grão) Arábica,90,90,189,2100,2627
2023,MG,3119708,Café (em grão) Arábica,NA,NA,NA,NA,NA
2013,MG,3147303,Café (em grão) Arábica,185,185,196,1059,849
2013,MG,3134707,Café (em grão) Arábica,22,22,20,909,93
2013,MG,3107406,Café (em grão) Arábica,NA,NA,NA,NA,NA
2013,MG,3111002,Café (em grão) Arábica,10217,10217,13380,1310,59140
2013,MG,3104007,Café (em grão) Arábica,2200,2200,3696,1680,17775
2020,MG,3149101,Café (em grão) Arábica,2600,2600,4368,1680,35966
2020,MG,3102605,Café (em grão) Arábica,7000,7000,17976,2568,141291
2015,MG,3112000,Café (em grão) Arábica,6240,6240,7488,1200,54303
2011,MG,3163508,Café (em grão) Arábica,NA,NA,NA,NA,NA
2011,MG,3137403,Café (em grão) Arábica,NA,NA,NA,NA,NA
2018,MG,3142254,Café (em grão) Arábica,NA,NA,NA,NA,NA
2018,MG,3147501,Café (em grão) Arábica,NA,NA,NA,NA,NA
2018,MG,3117836,Café (em grão) Arábica,NA,NA,NA,NA,NA
2015,MG,3136959,Café (em grão) Arábica,NA,NA,NA,NA,NA
2021,MG,3102407,Café (em grão) Arábica,NA,NA,NA,NA,NA
2021,MG,3167103,Café (em grão) Arábica,107,107,64,598,845
2021,MG,3161106,Café (em grão) Arábica,NA,NA,NA,NA,NA
2014,MG,3127057,Café (em grão) Arábica,NA,NA,NA,NA,NA
2014,MG,3115474,Café (em grão) Arábica,NA,NA,NA,NA,NA
2017,MG,3132503,Café (em grão) Arábica,462,462,757,1639,5473
2017,MG,3158706,Café (em grão) Arábica,3,3,5,1667,33
2017,MG,3140803,Café (em grão) Arábica,NA,NA,NA,NA,NA
2022,MG,3144102,Café (em grão) Arábica,6660,6660,9590,1440,196835
2022,MG,3157500,Café (em grão) Arábica,1,1,1,1000,20
2016,MG,3155306,Café (em grão) Arábica,NA,NA,NA,NA,NA
2016,MG,3126109,Café (em grão) Arábica,3700,3700,5550,1500,43937
2010,MG,3140159,Café (em grão) Arábica,NA,NA,NA,NA,NA
2023,MG,3113206,Café (em grão) Arábica,15,15,27,1800,371
2023,MG,3164472,Café (em grão) Arábica,2238,2238,4028,1800,58003
2023,MG,3166501,Café (em grão) Arábica,NA,NA,NA,NA,NA
2013,MG,3103801,Café (em grão) Arábica,600,600,1080,1800,4801
2013,MG,3111903,Café (em grão) Arábica,1200,1200,1728,1440,8609
2020,MG,3131703,Café (em grão) Arábica,5,5,4,800,28
2020,MG,3161007,Café (em grão) Arábica,104,104,92,885,678
2020,MG,3145455,Café (em grão) Arábica,NA,NA,NA,NA,NA
2015,MG,3105301,Café (em grão) Arábica,350,350,441,1260,3087
2011,MG,3136108,Café (em grão) Arábica,NA,NA,NA,NA,NA
2011,MG,3116704,Café (em grão) Arábica,NA,NA,NA,NA,NA
2018,MG,3112802,Café (em grão) Arábica,2345,2345,4221,1800,31658
2018,MG,3157708,Café (em grão) Arábica,29,29,52,1793,390
2018,MG,3116605,Café (em grão) Arábica,250,250,375,1500,2375
2018,MG,3169356,Café (em grão) Arábica,NA,NA,NA,NA,NA
2018,MG,3139409,Café (em grão) Arábica,18090,18090,26050,1440,182350
2018,MG,3111101,Café (em grão) Arábica,NA,NA,NA,NA,NA
2018,MG,3166808,Café (em grão) Arábica,16120,16120,37721,2340,282908
2018,MG,3152600,Café (em grão) Arábica,100,100,165,1650,1188
2015,MG,3142601,Café (em grão) Arábica,3000,3000,3780,1260,25175
2015,MG,3154705,Café (em grão) Arábica,310,310,353,1139,2463
2021,MG,3131406,Café (em grão) Arábica,NA,NA,NA,NA,NA
2019,MG,3100302,Café (em grão) Arábica,3500,3500,5250,1500,34125
2014,MG,3150703,Café (em grão) Arábica,NA,NA,NA,NA,NA
2014,MG,3157708,Café (em grão) Arábica,35,35,53,1514,371
2014,MG,3167806,Café (em grão) Arábica,300,300,317,1057,2298
2012,MG,3118601,Café (em grão) Arábica,NA,NA,NA,NA,NA
2023,MG,3138351,Café (em grão) Arábica,68,68,204,3000,2897
2023,MG,3170206,Café (em grão) Arábica,440,440,792,1800,11227
2013,MG,3131208,Café (em grão) Arábica,33,33,40,1212,170
2020,MG,3119708,Café (em grão) Arábica,NA,NA,NA,NA,NA
2020,MG,3144706,Café (em grão) Arábica,23,23,36,1565,270
2020,MG,3144201,Café (em grão) Arábica,NA,NA,NA,NA,NA
2020,MG,3122207,Café (em grão) Arábica,25,25,45,1800,330
2015,MG,3121258,Café (em grão) Arábica,NA,NA,NA,NA,NA
2011,MG,3120409,Café (em grão) Arábica,NA,NA,NA,NA,NA
2011,MG,3101201,Café (em grão) Arábica,NA,NA,NA,NA,NA
2011,MG,3133006,Café (em grão) Arábica,NA,NA,NA,NA,NA
2011,MG,3170602,Café (em grão) Arábica,NA,NA,NA,NA,NA
2018,MG,3136108,Café (em grão) Arábica,NA,NA,NA,NA,NA
2018,MG,3156502,Café (em grão) Arábica,NA,NA,NA,NA,NA
2018,MG,3120003,Café (em grão) Arábica,104,104,69,663,414
2015,MG,3157401,Café (em grão) Arábica,100,100,90,900,540
2015,MG,3169000,Café (em grão) Arábica,NA,NA,NA,NA,NA
2021,MG,3155801,Café (em grão) Arábica,NA,NA,NA,NA,NA
2019,MG,3155306,Café (em grão) Arábica,NA,NA,NA,NA,NA
2019,MG,3132909,Café (em grão) Arábica,7604,7604,14067,1850,93827
2019,MG,3171204,Café (em grão) Arábica,NA,NA,NA,NA,NA
2014,MG,3171071,Café (em grão) Arábica,30,30,18,600,126
2023,MG,3134400,Café (em grão) Arábica,NA,NA,NA,NA,NA
2023,MG,3130705,Café (em grão) Arábica,4530,4530,12231,2700,171051
2020,MG,3130705,Café (em grão) Arábica,3615,3615,6507,1800,52446
2020,MG,3155603,Café (em grão) Arábica,468,468,1614,3449,13322
2020,MG,3125952,Café (em grão) Arábica,4300,4300,6450,1500,50826
2015,MG,3117702,Café (em grão) Arábica,4435,4435,7184,1620,39699
2011,MG,3130556,Café (em grão) Arábica,NA,NA,NA,NA,NA
